"Sdlg","Species","Fire","FirePatch","Ht2016.cm","Ht2017.cm","Elevation","Slope.Deg","Aspect.deg","BasDia2016.cm","LastYearGrth.cm","Light_File","DIFN.all","ImmedAboveSpp","ImmedAboveHt.cm","ShrubSpp01","ShrubSpp02","ShrubSpp03","Cov1","Cov2","Cov3","Ht1","Ht2","Ht3","Cov1.2","Cov1.3","Ht1.2","Ht1.3","Genus","ShrG1","IAG","Years","Date","LAI","DIFN.53","DataSheet2017","Map","Status","BasDia2017.mm.1","BasDia2017.mm.2","Growth_17","Growth_16","Growth_15","notes","shrubarea1","shrubarea2","shrubarea3","soil_type_dom","soil_series","soil_order","soil_suborder"
"2","PIPO","CLVD","CLVD-N",143,186,1631,18,2,3.44,6.7,"4",0.031,"none",0,"ARPA","ARPA","ARPA",300,630,440,103.125,112.222222222222,99.375,930,1370,107.673611111111,104.907407407407,"Pinus","Arcto","Other",24,"20160527 08:38:47",6.2,0.031,NA,"Cleveland Lines - N","DONE","30.7","32.299999999999997","14.5","6.6","7.5","height measured wrong in 2016, very bendy",30937.5,100136.458333333,143723.148148148,"Jocal","153","Ultisol","Xerult"
"4","PIPO","CLVD","CLVD-N",88,87,1631,18,2,1.85,3.09,"18",0.366,"ARPA",180,"ARPA","ARPA","ARPA",490,440,520,91.1111111111111,80.7142857142857,98.5714285714286,930,1450,85.9126984126984,90.1322751322751,"Pinus","Arcto","Arcto",24,"20160610 05:06:53",1.53,0.37,NA,"Cleveland Lines - N","DONE","16.600000000000001","16.600000000000001","3.2","6.1","3.1","basal diameters measured with diameter tape",44644.4444444444,79898.8095238095,130691.798941799,"Jocal","153","Ultisol","Xerult"
"5","PIPO","CLVD","CLVD-N",191,217,1631,14,2,6.19,19,"21",0.406,"none",0,"CHSE","CHSE","ARPA",260,310,430,70,71.875,80,570,1000,70.9375,73.9583333333333,"Pinus","CHSE","Other",24,"20160610 05:22:51",1.28,0.423,NA,"Cleveland Lines - N","DONE","79","79","12.5","24.8","20.5",NA,18200,40434.375,73958.3333333333,"Jocal","153","Ultisol","Xerult"
"6","ABCO","CLVD","CLVD-N",9.45,14,1631,22,85,0.3,1.92,"16",0.296,"ARPA",200,"ARPA","ARPA","ARPA",400,490,290,116.666666666667,125.833333333333,95.8333333333333,890,1180,121.25,112.777777777778,"Abies","Arcto","Arcto",24,"20160531 20:32:01",1.67,0.331,NA,"Cleveland Lines - N","DONE","3.7","4.0999999999999996",NA,NA,"2.1","leader died, no vertical growth measurements for 2017 and 2016",46666.6666666668,107912.5,133077.777777778,"Jocal","153","Ultisol","Xerult"
"8","PIPO","CLVD","CLVD-N",110,229,1632,NA,NA,7.2,16,"13",0.909,"none",0,"CEIN","CEIN","CEIN",370,450,280,75.5555555555556,110,104,820,1100,92.7777777777778,96.5185185185185,"Pinus","Ceanothus","Other",24,"20160531 19:48:46",0.15,0.909,NA,"Cleveland Lines - N","DONE","79","85","11.5","15","17.5","height measured incorrectly in 2016",27955.5555555556,76077.7777777778,106170.37037037,"Jocal","153","Ultisol","Xerult"
"9","ABCO","CLVD","CLVD-N",146,175,1632,NA,NA,3.52,18,"15,26",0.283,"ARPA",190,"ARPA","ARPA","ARPA",400,540,500,100,96.6666666666667,146.666666666667,940,1440,98.3333333333333,114.444444444444,"Abies","Arcto","Arcto",24,NA,NA,0.298,NA,"Cleveland Lines - N","DONE","40.299999999999997","39.799999999999997","11.5","23.3","17.7",NA,40000,92433.3333333333,164799.999999999,"Jocal","153","Ultisol","Xerult"
"10","PIPO","CLVD","CLVD-N",163,185,1632,NA,NA,5.86,23,"27",0.325,"none",0,"CEIN","CEIN","ARPA",330,400,420,90,83.75,115.714285714286,730,1150,86.875,96.4880952380952,"Pinus","Ceanothus","Other",24,"20160610 05:52:22",1.77,0.386,NA,"Cleveland Lines - N","DONE","69.8","64.5","14","25","23.3",NA,29700,63418.75,110961.309523809,"Jocal","153","Ultisol","Xerult"
"11","PIPO","CLVD","CLVD-N",27,27,1632,NA,NA,0.9,2.64,"24",0.245,"CEIN",50,"CEIN","CEIN","ARPA",400,530,370,70,93.75,120,930,1300,81.875,94.5833333333333,"Pinus","Ceanothus","Ceanothus",24,"20160610 05:38:41",1.99,0.287,NA,"Cleveland Lines - N","DONE","4.3","4.5999999999999996","1.8","3.7","3",NA,28000,76143.75,122958.333333333,"Jocal","153","Ultisol","Xerult"
"12","ABCO","CLVD","CLVD-N",123,157,1632,NA,NA,4.24,16.3,"28",0.966,"none",0,"CEPR","CEPR","CEPR",350,160,300,9,5,19,510,810,7,11,"Abies","Ceanothus","Other",24,"20160610 05:57:28",0.01,0.991,NA,"Cleveland Lines - N","DONE","52.8","56.2","17.2","17.7","17",NA,3150,3570,8910,"Jocal","153","Ultisol","Xerult"
"13","ABCO","CLVD","CLVD-N",11.8,15,1632,NA,NA,0.65,2.1,"",NA,"none",0,"CEPR","CEPR","CEPR",380,160,300,14.1666666666667,5,19,540,840,9.58333333333333,12.7222222222222,"Abies","Ceanothus","Other",24,NA,NA,NA,NA,"Cleveland Lines - N","DONE","4.0999999999999996","3.9","0.6","1.4","1.2","appears browsed",5383.33333333335,5175,10686.6666666666,"Jocal","153","Ultisol","Xerult"
"15","ABCO","CLVD","CLVD-N",46,62,1632,NA,NA,1.28,7.9,"25",0.606,"none",0,"CEPR","CEPR","CEPR",570,420,340,27,56.4285714285714,72.5,990,1330,41.7142857142857,51.9761904761905,"Abies","Ceanothus","Other",24,"20160610 05:42:30",0.54,0.719,NA,"Cleveland Lines - N","DONE","14.2","14.4","6","8","7.8","branch has become new leader",15390,41297.1428571428,69128.3333333334,"Jocal","153","Ultisol","Xerult"
"20","PIPO","FRDS","FRDS-JB",81,NA,1568,18,90,2.5,19.5,"",NA,"none",0,"PREM","CEIN","CECO",10,80,200,36.6666666666667,60,65,90,290,48.3333333333333,53.8888888888889,"Pinus","Other","Other",35,NA,NA,NA,NA,NA,"not found",NA,NA,NA,NA,NA,NA,366.666666666667,4350,15627.7777777778,"0","149","Alfisol","Xeralf"
"21","PIPO","FRDS","FRDS-JB",83,NA,1568,18,90,2.7,20.5,"",NA,"none",0,"PREM","CEIN","CECO",10,80,200,36.6666666666667,60,65,90,290,48.3333333333333,53.8888888888889,"Pinus","Other","Other",35,NA,NA,NA,NA,NA,"not found",NA,NA,NA,NA,NA,NA,366.666666666667,4350,15627.7777777778,"0","149","Alfisol","Xeralf"
"22","PIPO","FRDS","FRDS-JB",91,NA,1568,18,90,2.3,12.5,"",NA,"PREM",100,"PREM","PREM","PREM",200,190,170,66,78,106.666666666667,390,560,72,83.5555555555556,"Pinus","Other","Other",35,NA,NA,NA,NA,NA,"not found",NA,NA,NA,NA,NA,NA,13200,28080,46791.1111111111,"0","149","Alfisol","Xeralf"
"23","PIPO","FRDS","FRDS-JB",41,NA,1568,18,90,1.6,9.5,"",NA,"PREM",100,"PREM","PREM","CEIN",250,210,200,131.666666666667,98,126.666666666667,460,660,114.833333333333,118.777777777778,"Pinus","Other","Other",35,NA,NA,NA,NA,NA,"not found",NA,NA,NA,NA,NA,NA,32916.6666666668,52823.3333333332,78393.3333333335,"0","149","Alfisol","Xeralf"
"26","PIPO","FRDS","FRDS-A",90,111,NA,18,130,1.6,9,"254",0.332,"CEIN",210,"CEIN","CEIN","CEIN",310,410,330,210,176,187.5,720,1050,193,191.166666666667,"Pinus","Ceanothus","Ceanothus",35,"20160728 05:43:22",1.57,0.361,"Shrubs_Summer17_Freds_KindleFire_Sep5_done",NA,"DONE","20.8","19.8","8.6","13.2","8.6",NA,65100,138960,200725,"0","108","Inceptisol","Xerept"
"27","PIPO","FRDS","FRDS-A",72,77,NA,3,80,4.6,8.5,"255",0.208,"CEIN",200,"CEIN","CEIN","CEIN",400,300,330,225,193.333333333333,200,700,1030,209.166666666667,206.111111111111,"Pinus","Ceanothus","Ceanothus",35,"20160728 05:51:09",2.15,0.243,"Shrubs_Summer17_Freds_KindleFire_Sep5_done",NA,"DONE","18.7","18.2","6.9","9.6","8.1999999999999993",NA,90000,146416.666666667,212294.444444444,"0","108","Inceptisol","Xerept"
"36","PIPO","AMCR","AMCR-NW",32,45,1598,28,250,1.35,5.57,"31",0,"none",0,"none","LIDE","LIDE",0,50,110,0,7.5,15,50,160,3.75,7.5,"Pinus","Other","Other",8,"20160622 05:08:28",0,0,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","16.399999999999999","17.399999999999999","9.8000000000000007","8.6","9.1",NA,0,187.5,1200,"McCarthy","SMG","Inceptisol","Xerept"
"38","PIPO","AMCR","AMCR-NW",24,21,1598,28,250,1.21,3.6,"33",0.86,"none",0,"none","none","LIDE",0,0,150,0,0,32.5,0,150,0,10.8333333333333,"Pinus","Other","Other",8,"20160622 05:12:37",0.1,0.936,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","12.8","12.1","4.3","2.9","1.7","leader died in 2014; shaped like an octopus",0,0,1624.99999999999,"McCarthy","SMG","Inceptisol","Xerept"
"39","PIPO","AMCR","AMCR-NW",50,63,1598,28,250,1.7,4.29,"34",0.714,"none",0,"none","LIDE","LIDE",0,70,180,0,22.5,50,70,250,11.25,24.1666666666667,"Pinus","Other","Other",8,"20160622 05:14:35",0.42,0.765,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","18.600000000000001","19.899999999999999","11.6","4.2","8.9",NA,0,787.5,6041.66666666668,"McCarthy","SMG","Inceptisol","Xerept"
"40","PIPO","AMCR","AMCR-NW",22,26,1598,28,250,0.68,2.81,"35",0.708,"none",0,"LIDE","LIDE","LIDE",100,230,200,37.5,47.5,57.5,330,530,42.5,47.5,"Pinus","LIDE","Other",8,"20160622 05:16:30",0.43,0.756,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","6.8","6.8","2.8","5.3","2.6",NA,3750,14025,25175,"McCarthy","SMG","Inceptisol","Xerept"
"41","PIPO","AMCR","AMCR-NW",91,103,1598,22,270,3.5,11.12,"36",0.369,"none",0,"LIDE","LIDE","LIDE",40,200,340,15,42.5,58,240,580,28.75,38.5,"Pinus","LIDE","Other",8,"20160622 05:18:30",1.4,0.446,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","38.1","39.700000000000003","12.6","16.600000000000001","11.5",NA,600,6900,22330,"McCarthy","SMG","Inceptisol","Xerept"
"42","PIPO","AMCR","AMCR-NW",42,51,1598,22,270,1.09,10.5,"37",0.093,"UNKNOAK",40,"LIDE","LIDE","LIDE",250,260,330,48,70,66,510,840,59,61.3333333333333,"Pinus","LIDE","Other",8,"20160622 05:20:30",3.4,0.106,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","11","10.8","11.7","13","9.9",NA,12000,30090,51520,"McCarthy","SMG","Inceptisol","Xerept"
"43","PIPO","AMCR","AMCR-NW",12,15,1598,6,287,0.53,3.59,"38",0.559,"none",0,"LIDE","LIDE","LIDE",20,100,140,12.5,20,50,120,260,16.25,27.5,"Pinus","LIDE","Other",8,"20160622 05:23:41",0.8,0.624,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","5.3","5.4","3.5","3.4","3.4",NA,250,1950,7150,"McCarthy","SMG","Inceptisol","Xerept"
"44","PIPO","AMCR","AMCR-NW",18,20,1598,22,22,0.59,2.19,"39",0.871,"none",0,"LIDE","LIDE","LIDE",30,110,260,15,27.5,55,140,400,21.25,32.5,"Pinus","LIDE","Other",8,"20160622 05:26:26",0.15,0.903,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","6.6","6.6","2.8","4.2","2.2000000000000002",NA,450,2975,13000,"McCarthy","SMG","Inceptisol","Xerept"
"46","ABCO","AMCR","AMCR-NW",48,53,1598,22,22,1.7,3.6,"41",0.801,"none",0,"ARNE","LIDE","ARPA",80,120,290,7.5,25,56,200,490,16.25,29.5,"Abies","Arcto","Other",8,"20160622 05:31:33",0.23,0.865,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","18.100000000000001","19.100000000000001","5.8","4.7","3.6",NA,600,3250,14455,"McCarthy","SMG","Inceptisol","Xerept"
"48","ABCO","AMCR","AMCR-NW",68,78,1598,19,22,1.95,12.75,"43",0.841,"none",0,"LIDE","conifer","LIDE",40,120,200,20,31,31.6666666666667,160,360,25.5,27.5555555555556,"Abies","LIDE","Other",8,"20160622 05:35:00",0.22,0.867,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","20.9","20.5","4.0999999999999996","5.7","12.9",NA,800,4080,9920.00000000002,"McCarthy","SMG","Inceptisol","Xerept"
"51","ABCO","AMCR","AMCR-NE",51,66,1966,17,188,1.18,7.7,"195",0.042,"none",0,"CHSE","CHSE","CHSE",270,330,390,35,40,45,600,990,37.5,40,"Abies","CHSE","Other",8,"20160720 05:29:22",0.78,0.607,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","12.8","12","7.5","8.1","7.6",NA,9450,22500,39600,"Smokey","SMG","Inceptisol","Xerept"
"52","ABCO","AMCR","AMCR-NE",38,42,1966,17,188,0.8,4.55,"196",0.28,"ARPA",40,"CHSE","CHSE","CHSE",360,260,310,45,53.3333333333333,51.6666666666667,620,930,49.1666666666667,50,"Abies","CHSE","Arcto",8,"20160720 05:31:57",1.8,0.32,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","8.1999999999999993","8.4","6.7","5.2","4.5",NA,16200,30483.3333333334,46500,"Smokey","SMG","Inceptisol","Xerept"
"53","ABCO","AMCR","AMCR-NE",27,32,1966,17,188,0.69,10.13,"197",0.154,"CHSE",36,"CHSE","CHSE","CHSE",380,320,320,55,47.5,46.6666666666667,700,1020,51.25,49.7222222222222,"Abies","CHSE","CHSE",8,"20160720 05:35:20",2.69,0.173,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","5.3","6.1","3.9","9.5","10.4",NA,20900,35875,50716.6666666666,"Smokey","SMG","Inceptisol","Xerept"
"54","ABCO","AMCR","AMCR-NE",34,48,1966,17,188,1.05,2.1,"198",0.32,"CHSE",54,"CHSE","CHSE","CHSE",300,330,280,48.3333333333333,50,50,630,910,49.1666666666667,49.4444444444444,"Abies","CHSE","CHSE",8,"20160720 05:38:01",1.59,0.349,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","11.1","10.8","7.7","5.7","1.8",NA,14500,30975,44994.4444444444,"Smokey","SMG","Inceptisol","Xerept"
"55","ABCO","AMCR","AMCR-NE",58,68,1966,17,188,1.2,6.39,"199",0.337,"none",0,"CHSE","CHSE","CHSE",270,330,280,46,50,50,600,880,48,48.6666666666667,"Abies","CHSE","Other",8,"20160720 05:40:08",1.57,0.35,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","13.9","14","8.4","6.7","5.6",NA,12420,28800,42826.6666666667,"Smokey","SMG","Inceptisol","Xerept"
"56","ABCO","AMCR","AMCR-NE",70,84,1966,17,188,1.19,13.49,"200",0.248,"CHSE",80,"CHSE","CHSE","CHSE",270,270,300,52.5,40,48,540,840,46.25,46.8333333333333,"Abies","CHSE","CHSE",8,"20160720 05:42:15",1.99,0.269,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","15.1","15.5","8.6","11.5","13.7",NA,14175,24975,39340,"Smokey","SMG","Inceptisol","Xerept"
"57","ABCO","AMCR","AMCR-NE",28,35,1966,17,188,0.64,2.46,"201",0.234,"none",0,"CHSE","CHSE","CHSE",310,350,300,35,46,46,660,960,40.5,42.3333333333333,"Abies","CHSE","Other",8,"20160720 05:44:30",2.07,0.26,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","5.5","5.3","5.5","5.2","3",NA,10850,26730,40640,"Smokey","SMG","Inceptisol","Xerept"
"58","ABCO","AMCR","AMCR-NE",30,NA,1966,17,188,0.51,3.03,"202",0.149,"CHSE",47,"CHSE","CHSE","CHSE",380,240,320,42.5,50,52,620,940,46.25,48.1666666666667,"Abies","CHSE","CHSE",8,"20160720 05:46:46",2.78,0.167,"Shrubs_Summer17_AMRC_2_Sep11",NA,"not found",NA,NA,NA,NA,NA,NA,16150,28675,45276.6666666667,"Smokey","SMG","Inceptisol","Xerept"
"61","ABCO","AMCR","AMCR-NW",29,34,1601,14,127,0.77,4.49,"51",0.413,"ARPA",40,"ARPA","ARPA","ARPA",260,50,50,44,12.5,25,310,360,28.25,27.1666666666667,"Abies","Arcto","Arcto",8,"20160622 06:07:09",1.17,0.461,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","6.2","6.2","2.2999999999999998","5","4.0999999999999996",NA,11440,8757.5,9780.00000000001,"McCarthy","SMG","Inceptisol","Xerept"
"62","PIPO","AMCR","AMCR-NW",52,58,1601,14,135,1.24,9.67,"52",0.338,"ARPA",64,"ARPA","ARPA","ARPA",220,190,200,38,42.5,36,410,610,40.25,38.8333333333333,"Pinus","Arcto","Arcto",8,"20160622 06:10:32",1.45,0.383,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","14.1","14.5","6.7","13.5","9.5",NA,8360,16502.5,23688.3333333333,"McCarthy","SMG","Inceptisol","Xerept"
"63","PIPO","AMCR","AMCR-NW",15,15,1601,14,140,0.45,2.72,"53",0.726,"none",0,"ARNE","ARNE","ARPA",290,110,190,22.8571428571429,40,35,400,590,31.4285714285714,32.6190476190476,"Pinus","Arcto","Other",8,"20160622 06:13:36",0.33,0.816,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","4.8","4.5","2.2000000000000002","3.5","2.5",NA,6628.57142857144,12571.4285714286,19245.2380952381,"McCarthy","SMG","Inceptisol","Xerept"
"64","PIPO","AMCR","AMCR-NW",78,94,1601,14,140,2.69,14.95,"54",0.292,"ARPA",78,"ARPA","ARPA","ARPA",270,110,110,36,32.5,26,380,490,34.25,31.5,"Pinus","Arcto","Arcto",8,"20160622 06:17:07",1.69,0.335,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","37.299999999999997","40.9","21.5","23","14.6",NA,9720,13015,15435,"McCarthy","SMG","Inceptisol","Xerept"
"65","PIPO","AMCR","AMCR-NW",67,66,1601,14,140,1.59,16.21,"55",0.298,"ARPA",70,"ARPA","ARPA","ARPA",190,90,100,65,37.5,15,280,380,51.25,39.1666666666667,"Pinus","Arcto","Arcto",8,"20160622 06:23:00",1.67,0.345,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","16.600000000000001","17.2","6.9","14.4","15.9",NA,12350,14350,14883.3333333333,"McCarthy","SMG","Inceptisol","Xerept"
"69","PIPO","AMCR","AMCR-NW",14,18,1601,12,185,0.51,1.79,"60",0.385,"ARPA",35,"ARPA","ARPA","ARPA",130,100,70,35,20,25,230,300,27.5,26.6666666666667,"Pinus","Arcto","Arcto",8,"20160622 06:58:24",1.31,0.417,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","4.8","5.5","3.4","5","1.6",NA,4550,6325,8000.00000000001,"McCarthy","SMG","Inceptisol","Xerept"
"71","PIPO","AMCR","AMCR-NW",29,30,1601,14,235,0.76,3.81,"62",0.182,"ARPA",75,"ARPA","ARPA","ARPA",430,270,370,70,51.4285714285714,41.6666666666667,700,1070,60.7142857142857,54.3650793650794,"Pinus","Arcto","Arcto",8,"20160622 07:04:30",2.43,0.215,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","6","6.6","3.3","9.3000000000000007","3.6","top cm is dead",30100,42500,58170.634920635,"McCarthy","SMG","Inceptisol","Xerept"
"72","PIPO","AMCR","AMCR-NW",23,25,1601,12,210,0.78,3.94,"63",0.427,"ARPA",63,"ARPA","ARPA","ARPA",210,340,260,28.3333333333333,50,67.5,550,810,39.1666666666667,48.6111111111111,"Pinus","Arcto","Arcto",8,"20160622 07:08:40",1.11,0.477,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","7.3","7.6","5.6","4.8",NA,"leader died in 2015, so no 2015 growth measurement taken",5949.99999999999,21541.6666666667,39375,"McCarthy","SMG","Inceptisol","Xerept"
"73","ABCO","AMCR","AMCR-2",55,61,1672,21,299,1.06,10.26,"64",0.088,"CECO",80,"CECO","CECO","CECO",420,390,360,82,66.6666666666667,78.3333333333333,810,1170,74.3333333333333,75.6666666666667,"Abies","Ceanothus","Ceanothus",8,"20160623 05:15:39",3.79,0.089,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","7.8","7.5","8.1","7.6","8.8000000000000007",NA,34440,60210,88530,"0","MCE","Andisol","Xerand"
"74","ABCO","AMCR","AMCR-2",57,51,1672,21,299,1.1,8.74,"64",0.088,"CECO",100,"CECO","CECO","CECO",420,390,360,82,66.6666666666667,78.3333333333333,810,1170,74.3333333333333,75.6666666666667,"Abies","Ceanothus","Ceanothus",8,"20160623 05:15:39",3.79,0.089,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","9.9","10",NA,NA,"11.3","2016 and 2017 broke off",34440,60210,88530,"0","MCE","Andisol","Xerand"
"75","ABCO","AMCR","AMCR-2",49,48,1672,21,299,0.92,7.65,"64",0.088,"CECO",100,"CECO","CECO","CECO",420,390,360,82,66.6666666666667,78.3333333333333,810,1170,74.3333333333333,75.6666666666667,"Abies","Ceanothus","Ceanothus",8,"20160623 05:15:39",3.79,0.089,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","6.8","7",NA,"6.7","8.1","2017 growth b",34440,60210,88530,"0","MCE","Andisol","Xerand"
"76","ABCO","AMCR","AMCR-2",52,55,1672,11,303,1.26,9.59,"65",0.443,"CECO",60,"CECO","CECO","CECO",410,440,370,48,54,38,850,1220,51,46.6666666666667,"Abies","Ceanothus","Ceanothus",8,"20160623 05:21:29",1.03,0.51,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","10.5","10.5","6.8","12","9.1999999999999993",NA,19680,43350,56933.3333333334,"0","MCE","Andisol","Xerand"
"77","ABCO","AMCR","AMCR-2",31,30,1701,15,290,0.59,2.86,"66",0.123,"ARPA",83,"CECO","CECO","CECO",540,260,340,70,71.6666666666667,58.3333333333333,800,1140,70.8333333333333,66.6666666666667,"Abies","Ceanothus","Arcto",8,"20160623 05:24:33",3.03,0.133,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","4.5","4.4000000000000004","1","3.3","0.7",NA,37800,56666.6666666666,76000,"0","MCE","Andisol","Xerand"
"78","ABCO","AMCR","AMCR-2",38,39,1701,15,290,0.83,3.47,"67",0.115,"ARPA",140,"ARPA","CECO","CECO",510,380,300,75.7142857142857,75,52.5,890,1190,75.3571428571429,67.7380952380952,"Abies","Arcto","Arcto",8,"20160623 05:27:29",3.05,0.131,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","6.8","6.4","3.7",NA,"3.5","2016 growth died, so no measurement taken",38614.2857142857,67067.8571428572,80608.3333333333,"0","MCE","Andisol","Xerand"
"79","ABCO","AMCR","AMCR-2",37,35,1701,15,290,0.89,3.8,"",NA,"ARPA",135,"ARPA","CECO","CECO",510,380,300,75.7142857142857,75,52.5,890,1190,75.3571428571429,67.7380952380952,"Abies","Arcto","Arcto",8,NA,NA,NA,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","8.1999999999999993","8","2.6","2","3.7",NA,38614.2857142857,67067.8571428572,80608.3333333333,"0","MCE","Andisol","Xerand"
"80","ABCO","AMCR","AMCR-2",49,NA,1701,15,290,1.1,3.93,"68",0.063,"CECO",100,"CECO","CECO","CECO",370,390,290,66,62,50,760,1050,64,59.3333333333333,"Abies","Ceanothus","Ceanothus",8,"20160623 05:32:35",3.98,0.07,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"not found",NA,NA,NA,NA,NA,NA,24420,48640,62300,"0","MCE","Andisol","Xerand"
"81","ABCO","AMCR","AMCR-2",57,NA,1701,15,290,1.27,11.38,"69",0.058,"ARPA",80,"CECO","CECO","CECO",400,310,130,68.5714285714286,50,26,710,840,59.2857142857143,48.1904761904762,"Abies","Ceanothus","Arcto",8,"20160623 05:37:43",4.11,0.065,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"herbicided",NA,NA,NA,NA,NA,NA,27428.5714285714,42092.8571428572,40480,"0","MCE","Andisol","Xerand"
"82","ABCO","AMCR","AMCR-2",42,NA,1701,15,290,1.68,11.78,"68",0.063,"ARPA",68,"CECO","CECO","CECO",370,390,290,66,62,50,760,1050,64,59.3333333333333,"Abies","Ceanothus","Arcto",8,"20160623 05:32:35",3.98,0.07,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"herbicided",NA,NA,NA,NA,NA,NA,24420,48640,62300,"0","MCE","Andisol","Xerand"
"83","ABCO","AMCR","AMCR-2",58,NA,1701,14,290,1.27,4,"70",0.228,"CECO",75,"CECO","CECO","CECO",420,340,220,55.7142857142857,66.6666666666667,46,760,980,61.1904761904762,56.1269841269841,"Abies","Ceanothus","Ceanothus",8,"20160623 05:41:42",2.03,0.26,"Shrubs_Summer17_AMRC_2_Sep12",NA,"herbicide",NA,NA,NA,NA,NA,NA,23400,46504.7619047619,55004.4444444444,"0","MCE","Andisol","Xerand"
