"Sdlg","Species","Fire","FirePatch","Ht2016.cm","Ht2017.cm","Elevation","Slope.Deg","Aspect.deg","BasDia2016.cm","LastYearGrth.cm","Light_File","DIFN.all","ImmedAboveSpp","ImmedAboveHt.cm","ShrubSpp01","ShrubSpp02","ShrubSpp03","Cov1","Cov2","Cov3","Ht1","Ht2","Ht3","Cov1.2","Cov1.3","Ht1.2","Ht1.3","Genus","ShrG1","IAG","Years","Date","LAI","DIFN.53","DataSheet2017","Map","Status","BasDia2017.mm.1","BasDia2017.mm.2","Growth_17","Growth_16","Growth_15","notes","shrubarea1","shrubarea2","shrubarea3","soil_type_dom","soil_series","soil_order","soil_suborder"
"233","ABCO","AMCR","AMCR-NE",37,41,1951,16,190,0.89,8.74,"209",0.158,"ARPA",42,"ARPA","QUVA","QUVA",310,260,370,50,50,50,570,940,50,50,"Abies","Arcto","Arcto",8,"20160720 06:10:03",2.62,0.186,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","6.5","6.9","1.5","6.5","9.8000000000000007",NA,15500,28500,47000,"Smokey","SMG","Inceptisol","Xerept"
"234","PIPO","AMCR","AMCR-NE",35,40,1951,20,197,1.51,3.39,"210",0.183,"none",0,"QUVA","QUVA","QUVA",200,220,190,17.5,24,40,420,610,20.75,27.1666666666667,"Pinus","Quercus","Other",8,"20160720 06:13:02",2.77,0.221,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","15.5","14","7","3.8","6.2",NA,3500,8715,16571.6666666667,"Smokey","SMG","Inceptisol","Xerept"
"235","ABCO","AMCR","AMCR-NE",32,30,1951,20,197,1.55,3.89,"211",0.625,"ARPA",55,"ARPA","ARPA","ARPA",280,350,200,42,44,33.3333333333333,630,830,43,39.7777777777778,"Abies","Arcto","Arcto",8,"20160720 06:14:44",0.58,0.679,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","13.5","13.3","2","3.8","3.2",NA,11760,27090,33015.5555555556,"Smokey","SMG","Inceptisol","Xerept"
"236","ABCO","AMCR","AMCR-NE",32,35,1951,20,197,1.11,3.98,"212",0.42,"ARPA",61,"ARPA","ARPA","ARPA",280,350,200,42,44,33.3333333333333,630,830,43,39.7777777777778,"Abies","Arcto","Arcto",8,"20160720 06:16:31",1.18,0.457,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","9","9","1.8","4.8","4.9000000000000004",NA,11760,27090,33015.5555555556,"Smokey","SMG","Inceptisol","Xerept"
"237","PIPO","AMCR","AMCR-NE",62,56,1951,18,198,1.28,7.44,"213",0.549,"none",0,"QUVA","QUVA","QUVA",410,260,260,52.2222222222222,53.3333333333333,45.7142857142857,670,930,52.7777777777778,50.4232804232804,"Pinus","Quercus","Other",8,"20160720 06:19:52",0.75,0.625,"Shrubs_Summer17_AMRC_2_Sep11",NA,"dead","9.4","9.8000000000000007","14","7","9.5","see ek notes on paper data sheet for dead seedling data; photo timestamp - 3:36 pm (9/11/17)",21411.1111111111,35361.1111111111,46893.6507936508,"Smokey","SMG","Inceptisol","Xerept"
"238","PIPO","AMCR","AMCR-NE",61,56,1951,18,198,1.62,10.34,"214",0.45,"none",0,"QUVA","QUVA","QUVA",410,260,260,52.2222222222222,53.3333333333333,45.7142857142857,670,930,52.7777777777778,50.4232804232804,"Pinus","Quercus","Other",8,"20160720 06:21:33",1.06,0.529,"Shrubs_Summer17_AMRC_2_Sep11",NA,"dead","12","12.9","7.6","9.3000000000000007","9.6999999999999993","see ek notes on paper data sheet for dead seedling data; photo timestamp - 3:35 pm (9/11/17)",21411.1111111111,35361.1111111111,46893.6507936508,"Smokey","SMG","Inceptisol","Xerept"
"239","PIPO","AMCR","AMCR-NE",46,49,1951,17,187,1.62,7.98,"215",0.627,"ARPA",50,"ARPA","ARPA","ARPA",220,370,350,62,77.5,82.5,590,940,69.75,74,"Pinus","Arcto","Arcto",8,"20160720 06:23:55",0.6,0.688,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","15.9","15.5","6.2","2.4","4.9000000000000004",NA,13640,41152.5,69560,"Smokey","SMG","Inceptisol","Xerept"
"240","ABCO","AMCR","AMCR-NE",56,51,1951,17,187,1.66,2.77,"216",0.454,"ARPA",90,"ARPA","ARPA","ARPA",360,350,330,64,62,56,710,1040,63,60.6666666666667,"Abies","Arcto","Arcto",8,"20160720 06:25:36",1.2,0.452,"Shrubs_Summer17_AMRC_2_Sep11",NA,"dead","14","14.8","2.5","2.6","6.7","see ek notes on paper data sheet for dead seedling data; photo timestamp - 3:24 pm (9/11/17)",23040,44730,63093.3333333334,"Smokey","SMG","Inceptisol","Xerept"
"241","PIPO","AMCR","AMCR-NE",48,40,1951,17,187,0.98,6.74,"217",0.215,"ARPA",82,"ARPA","ARPA","ARPA",400,190,220,72,54,40,590,810,63,55.3333333333333,"Pinus","Arcto","Arcto",8,"20160720 06:27:42",2.18,0.238,"Shrubs_Summer17_AMRC_2_Sep11",NA,"dead","8.8000000000000007","8.9","9.3000000000000007","6","6.7","see ek notes on paper data sheet for dead seedling data; photo timestamp - 3:07 pm (9/11/17)",28800,37170,44820,"Smokey","SMG","Inceptisol","Xerept"
"242","ABCO","AMCR","AMCR-NE",32,29,1940,20,196,0.93,2.03,"218",0.223,"ARPA",70,"ARPA","ARPA","ARPA",350,350,210,65,52.5,31.6666666666667,700,910,58.75,49.7222222222222,"Abies","Arcto","Arcto",8,"20160720 06:32:48",2.17,0.249,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","6.2","6.4","0.9","1.6","0.5",NA,22750,41125,45247.2222222222,"Smokey","SMG","Inceptisol","Xerept"
"243","ABCO","AMCR","AMCR-NE",28,26,1940,20,196,1.13,3.15,"219",0.28,"ARPA",65,"ARPA","ARPA","ARPA",350,350,210,65,52.5,31.6666666666667,700,910,58.75,49.7222222222222,"Abies","Arcto","Arcto",8,"20160720 06:34:54",1.9,0.301,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","7.2","8.6","1.8","5","1.8",NA,22750,41125,45247.2222222222,"Smokey","SMG","Inceptisol","Xerept"
"244","PIPO","AMCR","AMCR-NE",22,20,1940,20,196,0.89,1.28,"220",0.481,"ARPA",39,"ARPA","ARPA","ARPA",160,300,260,55,54,54,460,720,54.5,54.3333333333333,"Pinus","Arcto","Arcto",8,"20160720 06:37:30",0.95,0.539,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","7.2","6.5","4","3.2","1",NA,8800,25070,39120,"Smokey","SMG","Inceptisol","Xerept"
"245","ABCO","AMCR","AMCR-NE",45,45,1940,16,202,0.7,9.35,"221",0.086,"CHSE",66,"CHSE","CHSE","CECO",400,330,300,56.6666666666667,48.3333333333333,46.6666666666667,730,1030,52.5,50.5555555555556,"Abies","CHSE","CHSE",8,"20160720 06:40:41",3.57,0.096,"Shrubs_Summer17_AMRC_2_Sep11",NA,"alive","6.6","6.7","3.1","7.9","9.3000000000000007",NA,22666.6666666667,38325,52072.2222222223,"Smokey","SMG","Inceptisol","Xerept"
"246","ABCO","AMCR","AMCR-NE",65,65,1940,18,192,1.51,9.73,"223",0.313,"none",0,"CECO","CECO","CECO",430,400,390,40,42,58,830,1220,41,46.6666666666667,"Abies","Ceanothus","Other",8,"20160720 06:46:42",1.57,0.354,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","14.1","15.1","5","9.6","10",NA,17200,34030,56933.3333333334,"Smokey","SMG","Inceptisol","Xerept"
"247","ABCO","AMCR","AMCR-NE",34,35.8,1940,18,192,0.94,2.11,"224",0.067,"CECO",42,"CECO","CECO","CECO",420,400,390,42,42,58,820,1210,42,47.3333333333333,"Abies","Ceanothus","Ceanothus",8,"20160720 06:49:35",4.08,0.078,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","7.4","6.8","0.4","2.8","2.6",NA,17640,34440,57273.3333333333,"Smokey","SMG","Inceptisol","Xerept"
"248","ABCO","AMCR","AMCR-NE",37,36,1940,18,202,0.68,2.63,"225",0.114,"CECO",52,"CECO","CECO","CECO",370,320,390,52.5,45,47.5,690,1080,48.75,48.3333333333333,"Abies","Ceanothus","Ceanothus",8,"20160720 06:54:34",3.21,0.134,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","5.2","4.4000000000000004","3.4","4.4000000000000004","2.9",NA,19425,33637.5,52200,"Smokey","SMG","Inceptisol","Xerept"
"249","ABCO","AMCR","AMCR-NE",45,43,1940,18,202,0.94,4.49,"226",0.146,"CECO",53,"CECO","CECO","CECO",370,320,390,52.5,45,47.5,690,1080,48.75,48.3333333333333,"Abies","Ceanothus","Ceanothus",8,"20160720 06:56:42",2.73,0.169,"Shrubs_Summer17_AMRC_KindleFire_Sep11",NA,"DONE","5.8","6.5","5.0999999999999996","6.1","4.2",NA,19425,33637.5,52200,"Smokey","SMG","Inceptisol","Xerept"
"250","ABCO","AMCR","AMCR-3",38,41,NA,4,14,1.2,1.45,"227",0.496,"ARPA",110,"ARPA","ARPA","ARPA",380,260,130,71.25,56.25,44,640,770,63.75,57.1666666666667,"Abies","Arcto","Arcto",8,"20160721 05:26:16",0.9,0.556,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","12.5","12","10.199999999999999","7.6","1.4","basal diameters measured above wound at base",27075,40800,44018.3333333334,"Hurlbut","HUG","Inceptisol","Xerept"
"251","PIPO","AMCR","AMCR-3",28,25,NA,2,14,0.63,2.8,"228",0.407,"CECO",81,"CECO","CECO","CECO",270,280,80,55.7142857142857,45.7142857142857,15,550,630,50.7142857142857,38.8095238095238,"Pinus","Ceanothus","Ceanothus",8,"20160721 05:29:51",1.48,0.383,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","5","5","7.3","5.2","3.8",NA,15042.8571428571,27892.8571428571,24450,"Hurlbut","HUG","Inceptisol","Xerept"
"252","ABCO","AMCR","AMCR-3",29,35,NA,2,14,1.17,0.98,"229",0.353,"ARPA",86,"ARPA","ARPA","ARPA",240,260,170,75,53.75,16,500,670,64.375,48.25,"Abies","Arcto","Arcto",8,"20160721 05:31:33",1.57,0.374,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","9.9","9.6999999999999993","4.9000000000000004","3.4","1.2",NA,18000,32187.5,32327.5,"Hurlbut","HUG","Inceptisol","Xerept"
"253","ABCO","AMCR","AMCR-3",56,62,NA,6,324,1.25,14.19,"230",0.371,"CECO",79,"CECO","CECO","CECO",270,210,340,78.3333333333333,64.2857142857143,47.5,480,820,71.3095238095238,63.3730158730159,"Abies","Ceanothus","Ceanothus",8,"20160721 05:35:34",1.4,0.391,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","12.6","15.7","4.5","12.6","15",NA,21150,34228.5714285714,51965.873015873,"Hurlbut","HUG","Inceptisol","Xerept"
"254","ABCO","AMCR","AMCR-3",62,72,NA,6,324,1.7,16.75,"231",0.369,"CECO",79,"CECO","CECO","CECO",270,210,340,78.3333333333333,64.2857142857143,47.5,480,820,71.3095238095238,63.3730158730159,"Abies","Ceanothus","Ceanothus",8,"20160721 05:38:26",1.43,0.385,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","20.5","22.2","10.199999999999999","5.2","17.600000000000001",NA,21150,34228.5714285714,51965.873015873,"Hurlbut","HUG","Inceptisol","Xerept"
"255","ABCO","AMCR","AMCR-3",38,40,NA,7,336,1.24,1.37,"232",0.098,"CECO",107,"CECO","CECO","CECO",380,300,230,85,76.6666666666667,56,680,910,80.8333333333333,72.5555555555556,"Abies","Ceanothus","Ceanothus",8,"20160721 05:40:43",3.34,0.116,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","11.9","11.7","5.2","5.3","1.8",NA,32300,54966.6666666666,66025.5555555556,"Hurlbut","HUG","Inceptisol","Xerept"
"256","ABCO","AMCR","AMCR-3",48,55,NA,5,342,1.32,5.09,"233",0.13,"CECO",81,"CECO","CECO","CECO",360,250,130,74,42.8571428571429,44,610,740,58.4285714285714,53.6190476190476,"Abies","Ceanothus","Ceanothus",8,"20160721 05:44:32",3.02,0.132,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","13.6","14","7","13.7","5.7",NA,26640,35641.4285714286,39678.0952380952,"Hurlbut","HUG","Inceptisol","Xerept"
"257","ABCO","AMCR","AMCR-3",34,39,NA,5,342,1.21,3.58,"234",0.328,"CECO",90,"CECO","CECO","CECO",430,270,160,66.6666666666667,50,40,700,860,58.3333333333333,52.2222222222222,"Abies","Ceanothus","Ceanothus",8,"20160721 05:46:58",1.53,0.359,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","11.7","11.6","6.2","7.3","4.5999999999999996",NA,28666.6666666667,40833.3333333333,44911.1111111111,"Hurlbut","HUG","Inceptisol","Xerept"
"258","ABCO","AMCR","AMCR-3",56,62,NA,4,341,1.65,13.05,"235",0.302,"CECO",68,"CECO","CECO","CECO",310,330,300,60,40,57.5,640,940,50,52.5,"Abies","Ceanothus","Ceanothus",8,"20160721 05:49:45",1.78,0.306,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","19.100000000000001","17.5","4","15.6","12.9",NA,18600,32000,49350,"Hurlbut","HUG","Inceptisol","Xerept"
"259","PIPO","AMCR","AMCR-3",38,59,NA,4,340,1.05,8.78,"236",0.19,"CECO",69,"CECO","CECO","CECO",290,340,260,64,41.1111111111111,26,630,890,52.5555555555556,43.7037037037037,"Pinus","Ceanothus","Ceanothus",8,"20160721 05:53:25",2.41,0.201,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","10.4","9.9","20.2","13.3",NA,"leader died in 2015, so no 2015 growth measurement taken",18560,33110,38896.2962962963,"Hurlbut","HUG","Inceptisol","Xerept"
"260","PIPO","AMCR","AMCR-3",25,29,NA,2,346,0.82,2.77,"237",0.52,"ARPA",58,"ARPA","CECO","ARPA",210,300,220,41.6666666666667,56.6666666666667,42.5,510,730,49.1666666666667,46.9444444444444,"Pinus","Arcto","Arcto",8,"20160721 05:56:24",0.85,0.589,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","7.6","7.7","4.5999999999999996","5.5","2.6",NA,8750.00000000001,25075,34269.4444444444,"Hurlbut","HUG","Inceptisol","Xerept"
"262","PIPO","AMCR","AMCR-3",65,67,NA,3,350,1.72,10.9,"239",0.57,"CECO",76,"CECO","CECO","CECO",340,290,310,52,45.7142857142857,61.6666666666667,630,940,48.8571428571429,53.1269841269841,"Pinus","Ceanothus","Ceanothus",8,"20160721 06:02:02",0.7,0.629,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","13.9","13.8","3.6","14.8","12.2",NA,17680,30780,49939.3650793651,"Hurlbut","HUG","Inceptisol","Xerept"
"263","ABCO","AMCR","AMCR-3",79,91,NA,3,347,1.84,11.29,"241",0.198,"ARPA",97,"CECO","CECO","CECO",460,270,290,72.8571428571429,58,58.3333333333333,730,1020,65.4285714285714,63.0634920634921,"Abies","Ceanothus","Arcto",8,"20160721 06:06:50",2.35,0.221,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","20.7","21.5","13.6","19.2","12.9",NA,33514.2857142857,47762.8571428571,64324.7619047619,"Hurlbut","HUG","Inceptisol","Xerept"
"264","ABCO","AMCR","AMCR-3",51,63,NA,3,347,1.6,3.27,"242",0.227,"ARPA",89,"ARPA","ARPA","ARPA",310,310,350,58.5714285714286,67.1428571428571,74,620,970,62.8571428571429,66.5714285714286,"Abies","Arcto","Arcto",8,"20160721 06:09:58",2.21,0.257,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","12.4","12.6","10.4","15.2","4",NA,18157.1428571429,38971.4285714286,64574.2857142857,"Hurlbut","HUG","Inceptisol","Xerept"
"265","ABCO","AMCR","AMCR-3",26,30,NA,3,347,0.89,1.47,"243",0.134,"ARPA",101,"CECO","CECO","CECO",500,330,280,77.5,70,64.2857142857143,830,1110,73.75,70.5952380952381,"Abies","Ceanothus","Arcto",8,"20160721 06:12:08",2.84,0.15,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","4.7","4.8","2.2000000000000002","4.9000000000000004","1.2",NA,38750,61212.5,78360.7142857143,"Hurlbut","HUG","Inceptisol","Xerept"
"275","ABCO","CLVD","CLVD-N",28,27,1621,12,50,0.74,0.8,"252",0.615,"CECO",57,"CEPR","CEPR","CEPR",440,290,60,20.3333333333333,39.2,25,730,790,29.7666666666667,28.1777777777778,"Abies","Ceanothus","Ceanothus",24,"20160727 06:13:51",0.54,0.699,NA,"Cleveland Lines - N","DONE","5.3","5.4","1.8","3.6","1.3",NA,8946.66666666665,21729.6666666667,22260.4444444445,"Jocal","153","Ultisol","Xerult"
"276","ABCO","CLVD","CLVD-N",14,14,1621,26,18,0.56,1.29,"244",0.315,"ARPA",150,"CHSE","ARPA","ARPA",290,380,240,78.1818181818182,90,83.3333333333333,670,910,84.0909090909091,83.8383838383838,"Abies","CHSE","Arcto",24,"20160727 05:30:38",1.66,0.339,NA,"Cleveland Lines - N","DONE","4","3.9","0.3","1.5","0.3",NA,22672.7272727273,56340.9090909091,76292.9292929293,"Jocal","153","Ultisol","Xerult"
"277","PIPO","CLVD","CLVD-N",84,85,1621,18,18,2.48,3.43,"245",0.701,"none",0,"ARPA","ARPA","ARPA",190,400,360,87.5,108.75,112.5,590,950,98.125,102.916666666667,"Pinus","Arcto","Other",24,"20160727 05:38:09",0.36,0.804,NA,"Cleveland Lines - N","DONE","23.7","25","2.8","5.5","4.4000000000000004",NA,16625,57893.75,97770.8333333336,"Jocal","153","Ultisol","Xerult"
"278","PIPO","CLVD","CLVD-N",98,99,1621,18,18,2.7,3.93,"246",0.734,"none",0,"CECO","ARPA","ARPA",220,250,280,84,128,136,470,750,106,116,"Pinus","Ceanothus","Other",24,"20160727 05:42:01",0.31,0.813,NA,"Cleveland Lines - N","DONE","24.3","26.5","6.2","12.1","5",NA,18480,49820,87000,"Jocal","153","Ultisol","Xerult"
"279","PIPO","CLVD","CLVD-N",115,110,1621,22,347,3.12,11.11,"247",0.342,"ARPA",151,"ARPA","ARPA","ARPA",360,440,330,101.25,101.25,154,800,1130,101.25,118.833333333333,"Pinus","Arcto","Arcto",24,"20160727 05:45:56",1.53,0.369,NA,"Cleveland Lines - N","DONE","28.8","29.8","2.4","12.1","8.3000000000000007","last year of growth died",36450,81000,134281.666666666,"Jocal","153","Ultisol","Xerult"
"280","PIPO","CLVD","CLVD-N",70,69,1621,21,354,1.3,2.35,"248",0.377,"ARPA",183,"ARPA","ARPA","ARPA",500,380,290,96.9230769230769,121.111111111111,91.4285714285714,880,1170,109.017094017094,103.154253154253,"Pinus","Arcto","Arcto",24,"20160727 05:50:19",1.4,0.399,NA,"Cleveland Lines - N","DONE","12.3","13.7","1.3","4.5","3.5",NA,48461.5384615385,95935.0427350427,120690.476190476,"Jocal","153","Ultisol","Xerult"
"281","ABCO","CLVD","CLVD-N",23,26,1621,19,348,0.68,4.15,"249",0.182,"ARPA",140,"ARPA","ARPA","ARPA",420,240,310,83,85,114,660,970,84,94,"Abies","Arcto","Arcto",24,"20160727 05:54:53",2.58,0.195,NA,"Cleveland Lines - N","DONE","5.8","5.9","3.1","5.5","4.8",NA,34860,55440,91180,"Jocal","153","Ultisol","Xerult"
"282","ABCO","CLVD","CLVD-N",50,52,1621,22,67,1.09,8.29,"250",0.35,"ARPA",147,"ARPA","ARPA","ARPA",200,230,180,175,115,130,430,610,145,140,"Abies","Arcto","Arcto",24,"20160727 06:03:40",1.38,0.409,NA,"Cleveland Lines - N","DONE","11.5","12","1.7","4.4000000000000004","9.6999999999999993","leader died in 2016",35000,62350,85400,"Jocal","153","Ultisol","Xerult"
"283","ABCO","CLVD","CLVD-N",34,37,1621,15,39,0.56,3.87,"251",0.229,"CECO",74,"CECO","CECO","CECO",310,320,360,78.5714285714286,87.5,93.3333333333333,630,990,83.0357142857143,86.468253968254,"Abies","Ceanothus","Ceanothus",24,"20160727 06:07:33",2.02,0.261,NA,"Cleveland Lines - N","DONE","4.0999999999999996","4.5","4.5999999999999996","5.3","5.2",NA,24357.1428571429,52312.5,85603.5714285715,"Jocal","153","Ultisol","Xerult"
"284","ABCO","CLVD","CLVD-N",50,50,1621,13,37,0.95,7.17,"253",0.351,"other",110,"other","ARPA","ARPA",400,330,360,104.285714285714,96.6666666666667,131.428571428571,730,1090,100.47619047619,110.793650793651,"Abies","Other","Other",24,"20160727 06:20:38",1.36,0.409,NA,"Cleveland Lines - N","DONE","10.3","9.1","1.5","6.1","7.9",NA,41714.2857142856,73347.6190476187,120765.07936508,"Jocal","153","Ultisol","Xerult"
"285","PIPO","CLVD","CLVD-N",151,167,1621,20,33,5.47,12.62,"",NA,"none",0,"CECO","CECO","ARPA",310,260,290,62.5,110,121.25,570,860,86.25,97.9166666666667,"Pinus","Ceanothus","Other",24,NA,NA,NA,NA,"Cleveland Lines - N","DONE","61.2","61.6","13","20.6","14.8",NA,19375,49162.5,84208.3333333334,"Jocal","153","Ultisol","Xerult"
"286","PIPO","FRDS","FRDS-mid",68,78,1638,5,166,1.77,14.83,"256",0.572,"CEIN",150,"CEIN","CEIN","CEIN",340,260,270,92.5,115,126,600,870,103.75,111.166666666667,"Pinus","Ceanothus","Ceanothus",35,"20160728 06:05:44",0.73,0.617,"Shrubs_Summer17_Freds_KindleFire_Sep5_done",NA,"DONE","20.3","21.8","12.6","24.8","15.6",NA,31450,62250,96715.0000000003,"0","108","Inceptisol","Xerept"
"287","PIPO","FRDS","FRDS-mid",69,70,1638,5,166,1.87,4.96,"257",0.602,"CEIN",127,"CEIN","CEIN","CEIN",340,260,270,92.5,115,126,600,870,103.75,111.166666666667,"Pinus","Ceanothus","Ceanothus",35,"20160728 06:08:20",0.62,0.662,"Shrubs_Summer17_Freds_KindleFire_Sep5_done",NA,"DONE","16.3","17.3","4.7","15","5.4","dead above 45 cm tall, that part died mid 2017",31450,62250,96715.0000000003,"0","108","Inceptisol","Xerept"
"288","PIPO","FRDS","FRDS-mid",204,216,1638,5,166,5.85,35.66,"258",0.828,"none",0,"pea","pea","pea",320,300,320,105,114,120,620,940,109.5,113,"Pinus","Other","Other",35,"20160728 06:10:36",0.21,0.87,"Shrubs_Summer17_Freds_KindleFire_Sep5_done",NA,"DONE","67.5","66.2","15.3","38.799999999999997","37",NA,33600,67890,106220,"0","108","Inceptisol","Xerept"
"289","PIPO","FRDS","FRDS-mid",201,222,1638,5,166,5.61,35.52,"",NA,"none",0,"pea","pea","pea",130,170,320,45,97.5,127.5,300,620,71.25,90,"Pinus","Other","Other",35,NA,NA,NA,"Shrubs_Summer17_Freds_KindleFire_Sep5_done",NA,"DONE","73.3","74.5","19.100000000000001","43.4","38.5",NA,5850,21375,55800,"0","108","Inceptisol","Xerept"
"290","PIPO","FRDS","FRDS-mid",226,276,1638,2,191,7,21.52,"261",0.889,"none",0,"pea","pea","pea",120,300,340,60,123.333333333333,133.333333333333,420,760,91.6666666666667,105.555555555556,"Pinus","Other","Other",35,"20160728 06:21:50",0.07,0.956,"Shrubs_Summer17_Freds_KindleFire_Sep5_done",NA,"DONE","8.6999999999999993","8.6999999999999993","50.5","46.5","25.5","diameter measured with logger tape",7200,38500,80222.2222222226,"0","108","Inceptisol","Xerept"
"291","PIPO","FRDS","FRDS-mid",142,165,1638,7,208,3.15,7.8,"262",0.121,"CEIN",230,"CEIN","CEIN","CEIN",430,550,400,201.25,160.909090909091,175.714285714286,980,1380,181.079545454545,179.291125541126,"Pinus","Ceanothus","Ceanothus",35,"20160728 06:38:28",2.92,0.142,"paper in maroon binder",NA,"DONE","30.9","30","15","19","11",NA,86537.5,177457.954545454,247421.753246754,"0","108","Inceptisol","Xerept"
"292","PIPO","FRDS","FRDS-mid",220,238,1638,13,206,6.86,31.9,"263",0.643,"none",0,"CECO","CECO","CEIN",110,340,310,106.666666666667,101.428571428571,113.333333333333,450,760,104.047619047619,107.142857142857,"Pinus","Ceanothus","Other",35,"20160728 06:45:35",0.51,0.731,"paper in maroon binder",NA,"DONE","90","80","26","31","24",NA,11733.3333333334,46821.4285714286,81428.5714285713,"0","108","Inceptisol","Xerept"
"293","PIPO","FRDS","FRDS-mid",140,162,1638,5,224,3.2,13,"264",0.166,"CEIN",171,"CEIN","CEIN","CEIN",320,520,360,98.5714285714286,145,131.666666666667,840,1200,121.785714285714,125.079365079365,"Pinus","Ceanothus","Ceanothus",35,"20160728 06:52:46",2.63,0.176,"paper in maroon binder",NA,"DONE","35.1","37.1","22","29","12",NA,31542.8571428572,102300,150095.238095238,"0","108","Inceptisol","Xerept"
"294","PIPO","FRDS","FRDS-mid",45,54,1638,12,243,1.2,4.94,"265",0.398,"pea",103,"pea","pea","pea",300,260,280,90,75,62,560,840,82.5,75.6666666666667,"Pinus","Other","Other",35,"20160728 07:00:53",1.22,0.45,"paper in maroon binder",NA,"DONE","14.6","15.2","14","14.7","8.5",NA,27000,46200,63560,"0","108","Inceptisol","Xerept"
"125w","ABCO","WRTS","WRTS-1",222,252,2112,18,60,6.035,9.65,"",NA,"none",0,"CECO","CECO","CECO",380,590,410,112.5,140,144,970,1380,126.25,132.166666666667,"Abies","Ceanothus","Other",14,NA,NA,NA,NA,"Wrights - Aerial - 1","DONE","79","79","11","12","21","diameter taken with dbh tape",42750,122462.5,182390,"0","222","Inceptisol","Xerept"
