PlotID,Species,Distance
C1030C,PIPJ,13.7
C1030C,CADE,43.8
C1030C,PSME,62.4
C1030T,PIJE,45.5
C1030T,CADE,41.3
C1030T,ABCO,217.6
C1030T,PILA,306
C1030T,PSME,70
C1031T,PIPJ,28.7
C1031T,PILA,242
C1031T,CADE,202
C1031T,ABCO,224
C1026C,PIPJ,218.9
C1026C,ABCO,157.4
C1026T,ABCO,133
C1026T,PIPJ,328
C1023C,PIPJ,180
C1023C,ABMA,182
C1023T,PIPJ,237
C1023T,ABCO,253
C1020C,NONE,NA
C1020T,PIPJ,362
C1032T,CADE,83
C1032T,PILA,127
C1032T,ABCO,84
C1032T,PIPJ,96.5
C1032T,ABMA,196
C1032C,PIPJ,76
C1032C,PILA,138
C1032C,CADE,133
C1032C,ABCO,86
C1029T,ABMA,122.2
C1029T,ABCO,87
C1029T,PILA,124
C1029T,PIJE,84.3
C1029C,PIPJ,80
C1029C,ABCO,81.3
C1029C,ABMA,61.9
C1029C,PILA,84.3
C1031C,PIPJ,78
C1031C,PILA,64.8
C1031C,ABCO,143.1
C1031C,CADE,184
C1040T,PIJE,156.8
C1040T,ABCO,40
C1040T,ABMA,46.8
A4013C,PIPJ,126
A4013T,PIPJ,212
A4060C,PSME,31
A4060C,ABCO,12.8
A4060C,CADE,129
A4060C,PIPJ,116
A4060C,PILA,168
A4060T,PSME,25.5
A4060T,ABCO,56
A4060T,PIPJ,76.8
A4060T,CADE,229
A4014C,CADE,93
A4014C,PILA,191
A4014C,ABMA,147
A4014C,PSME,71
A4014C,PIPJ,116
A4014C,ABCO,112
A4014T,ABCO,20
A4014T,CADE,51.6
A4014T,PILA,216
A4014T,PSME,161
A4014T,ABMA,95.1
A4014T,PIPJ,160
A4022C,ABCO,209
A4022C,PILA,59.7
A4022C,PSME,38.9
A4022C,ABMA,39.7
B1003T,CADE,32
B1003T,PIPJ,33.7
B1018C,CADE,80.1
B1018C,PIPJ,168
B1018T,PIPJ,232
B1018T,CADE,131
B1016C,CADE,3.4
B1016C,PSME,21
B1016C,PIPJ,22.4
D1000C,PIPJ,14.6
D1000C,FIR,226
D1001T,PIPJ,184
D1001T,PILA,187
D1001T,FIR,155
D1001C,PILA,147
D1001C,PIPJ,128
D1013C,ABCO,30
D1013C,PIPJ,26.1
D1018T,PIPJ,51.6
D1018T,ABMA,59
D1018T,ABCO,60
D1018C,PIPJ,33.2
D1018C,ABCO,53.1
D1018C,QUKE,61
D1013T,PIPJ,34.4
D1013T,ABCO,87
D1005T,PIPJ,7
D1005T,FIR,164
D1005C,PIPJ,37.5
D1005C,ABCO,98
D1005C,PILA,360
B1019C,CADE,42
B1019C,PIPJ,41.7
B1019C,PSME,52.5
B1019C,PILA,45.1
B1019T,PSME,103
B1019T,ABCO,170
B1019T,PIPJ,118
B1019T,CADE,161
B1014T,CADE,65
B1014T,PIPJ,141
B1009T,CADE,57
B1009T,PIPJ,72
D1010C,ABCO,70.1
D1010C,PIPJ,84.5
D1010C,ABMA,74.8
A4017C,PILA,211
A4017C,CADE,56
A4017C,PIPJ,236
A4017C,ABMA,38.1
A4017C,ABCO,45
A4017T,CADE,35.1
A4017T,ABCO,60
A4017T,PIPJ,60
A4017T,ABMA,44
A4017T,PILA,175
A4025T,PILA,408
A4025T,PSME,355
A4025T,ABCO,62
A4025T,ABMA,96.5
A4025C,ABCO,52.4
A4025C,ABMA,54.9
A4025C,PILA,366
A4025C,PSME,328
A4057C,ABCO,3.8
A4057C,CADE,106.5
A4057C,PIPJ,22.1
A4057T,CADE,94.8
A4057T,PIPJ,117
A4057T,ABCO,79
C2001C,PSME,2.9
C2001C,PIPJ,7.4
C2001C,CADE,68.1
C2001C,PILA,17
C2001C,ABCO,43
C2001T,PSME,36.9
C2001T,PIPJ,42.7
C2001T,PILA,51
C2001T,ABCO,43.5
C2006C,PILA,1
C2006C,ABCO,27
C2006C,PIPJE,37.2
C2006C,PSME,81
C2006T,PILA,21
C2006T,PIPJ,56.7
C2006T,ABCO,118
C2006T,PSME,53
A1157C,NA,NA
A1096T,PSME,113
A1096T,PIPO,104
A1096T,PILA,158
A1096T,ABCO,118
A1096T,CADE,115
A1041C,CADE,16.8
A1041C,PSME,11.3
A1041C,PIPO,30.7
A1147C,PIPO,40.3
A1147C,ABCO,43
A1147C,PSME,36.1
A1041T,CADE,51.9
A1041T,PSME,63.1
A1041T,PIPO,79
A1147T,PSME,30.3
A1147T,ABCO,41.2
A1147T,PIPO,33.2
A1147T,CADE,51
A1140T,PIPO,45
A1140T,ABCO,100
A1140T,PSME,78
A1096C,PSME,65
A1096C,PIPO,52
A1096C,PILA,66
A1096C,ABCO,66
A1096C,CADE,107
A1157T,PSME,8.9
A1157T,PIPJ,11.6
A1157T,CADE,31.3
A1157T,ABCO,28.3
A4022T,ABMA,99
A4022T,PILA,167
A4022T,ABCO,136.1
A4022T,PSME,120
A4168C,PSME,279
A4168C,ABCO,204
A4168C,PILA,336
A4168T,FIR,268
A4172C,PIPJ,50
A4172C,ABMA,55
A4172C,ABCO,50
A4172C,PILA,118
A4172C,CADE,110.1
A4172T,ABMA,22.1
A4172T,PIPJ,26.8
A4172T,PILA,123
A4172T,ABCO,130
A4172T,CADE,117
A4176C,PIPJ,66
A4176C,PILA,109
A4176C,FIR,135
A4176T,PIPJ,170
A4176T,FIR,131
A4176T,PILA,170
A4176T,CADE,310
A4177T,PIPJ,63
A4177T,PSME,56.4
A4177T,ABCO,55
A4177T,CADE,87.6
B1015C,PSME,299
B1015C,ABCO,286
B1015C,CADE,293
B1015T,PIPJ,200
D1017C,PIPJ,28.2
D1017C,ABCO,57.3
D1017T,ABCO,18.8
D1017T,PIPJ,76
D1025C,PIPJ,29
D1025C,ABMA,58
D1025C,ABCO,39
D1025T,PIPJ,45.4
D1025T,ABCO,98
D1097C,QUKE,16
D1097C,PIPJ,24.9
D1097C,ABCO,86
D1006C,PIPJ,27.3
D1006C,ABMA,66
D1006T,PIPJ,50.2
D1006T,FIR,98.8
D1006T,PILA,282
D1008T,FIR,50.6
D1008T,PIPJ,50.4
D1008T,PILA,81
D1009T,PIPJ,30
D1009T,PILA,270
D1009T,FIR,107
B1014C,CADE,42.5
B1014C,FIR,66.6
B1014C,PIPJ,111
B1009C,PIPJ,54.9
B1009C,CADE,78
B1009C,QUKE,4.88
B1009C,FIR,92.6
D1010T,PIPJ,14.4
D1010T,ABMA,6.9
D1010T,PILA,109
D1010T,ABCO,104
E0039I,NONE,NA
E0046I,NONE,NA
E0051I,PIPO,0.63
E0049I,NONE,NA
E0052I,NONE,NA
E0043I,NONE,NA
E0087C,PIPJ,164
E0087C,FIR,185
E0090T,ABMA,75.3
E0090T,PIPJ,47
E0090T,ABCO,76.5
E0090C,PIPJ,16.2
E0090C,ABMA,42.2
E0090C,ABCO,18.2
E0087T,FIR,134
E0087T,PIPJ,136
E0078T,PIPJ,102
E0078T,FIR,365
E0078T,ABCO,464
E0078C,PIPJ,185
E0078C,ABCO,408
E0072T,ABCO,108.1
E0072T,PIPJ,96.7
E0072T,ABMA,180
E0072C,PIPJ,117
E0072C,FIR,155
E0072C,ABCO,334
E2001I,PIPJ,102.5
E2001I,ABMA,111
E0063I,PIPJ,54.7
E0062I,NONE,NA
E0060I,PIPJ,221
E0065I,PIPJ,239
E0066I,PIPJ,139.5
E0061I,PIPJ,187
E0055I,PIPJ,230
E0055I,FIR,458
E0050I,NONE,NA
E0053I,NONE,NA
E0064I,PIPJ,89.2
E0068T,PIPJ,4.6
E0068T,FIR,49.3
E0068T,JUOC,47.3
E0069T,PIPJ,75.1
E0069T,ABCO,79
E0069T,JUOC,172
E0069T,ABMA,136
E0069C,ABMA,50
E0069C,PIPJ,50
E0068C,PIPJ,35
E0068C,ABMA,27.4
E0068C,JUOC,76.6
E0045I,NONE,NA
A1140C,PIPJ,49
A1140C,PSME,156
A2025T,CADE,31.6
A2025T,PILA,114
A2025T,PSME,105
A2025C,PIPJ,33.1
A2025C,CADE,82
A2025C,PILA,169
A2025C,PSME,100.1
A2026T,PSME,51.1
A2026T,ABCO,92.7
A2026T,PIPJ,131.6
A2026C,PSME,57.7
A2026C,PIPJ,104
A2026C,ABCO,103.2
A2026C,PILA,334
A2029T,PSME,28
A2029T,PIPJ,24.8
A2029T,ABCO,185
A2029C,PIPJ,29.3
A2029C,PSME,89.2
A2029C,ABCO,140
A2030C,PIPJ,103
A2030C,PSME,118.2
A2030T,PIPJ,22
A2030T,PSME,21
A2031T,PIPJ,37.8
A2031T,PSME,146
A2031C,PIPJ,9.8
A2031C,ABCO,83
A2035T,PIPJ,17.3
A2035T,ABCO,63.6
A2035T,PSME,119
A2035C,PIPJ,85.4
A2035C,PSME,102.5
A2035C,ABCO,101
A2035C,PILA,340
A2039T,PIPJ,45.7
A2039T,PSME,56.4
A2039T,CADE,99.4
A2039T,ABCO,108
A2039C,PIPJ,46.6
A2039C,PSME,42.6
A2039C,CADE,45.7
A2039C,ABCO,91.3
A2040T,ABCO,25.2
A2040T,PIPJ,23
A2040T,PSME,68
A2040T,CADE,193
A2040C,PIPJ,53.9
A2040C,CADE,65
A2040C,PSME,125
A2040C,ABCO,163
A2041T,ABCO,30.1
A2041T,PIPJ,34.8
A2041T,CADE,108.2
A2041T,PSME,113.9
A2041C,PIPJ,81
A2041C,ABCO,109
A2041C,CADE,90.2
A4247C,PIPJ,10.7
A4247C,PSME,24.8
A4247C,CADE,47.5
A4247C,PILA,83.5
A4247C,ABCO,50
A4245T,PIPJ,53.4
A4245T,PSME,71.4
A4245T,ABCO,112.2
A4245C,PIPJ,41.5
A4245C,PSME,57.9
A4245C,ABCO,147.6
A4205I,PIPJ,169
A4205I,PSME,220
A4205I,ABCO,210
A4205I,CADE,350
A4203I,PIPJ,187
A4204I,PIPJ,181
A4177C,PIPJ,24
A4177C,PSME,41
A4177C,ABCO,28
A4177C,CADE,25.2
A4249T,PIPJ,20
A4249T,CADE,67
A4249T,PSME,42
A4249T,ABCO,61
A4249T,PILA,150
A4249C,PSME,37.4
A4249C,PIPJ,43
A4249C,ABCO,68
A4249C,CADE,58
A4249C,PILA,97
B1026C,CADE,65.1
B1026C,PILA,120
B1026C,PIJE,19.6
B1026C,ABCO,83.9
B1026T,PILA,91.6
B1026T,CADE,96
B1026T,PIPJ,27
B1022T,PILA,39.4
B1022T,PIPJ,48.8
B1022T,CADE,72
B1004C,PIPO,10.7
B1004C,CADE,22
B1004C,PSME,64
B1004C,PILA,215
B1004T,PIPO,4.9
B1004T,PILA,147
B1004T,CADE,58
B1004T,PSME,140
B1025C,ABCO,44.8
B1025C,PSME,92.7
B1025C,CADE,27
B1025C,PILA,53
B1025C,PIPO,27
B1025T,PIPO,35.6
B1025T,CADE,21.5
B1025T,PILA,52.3
B1025T,ABCO,48.3
B1022C,CADE,50
B1022C,PILA,57.1
B1022C,PIPJ,41.4
B1024T,PIPJ,44.9
B1024T,CADE,39.3
B1024T,PILA,189
B1023C,PILA,90
B1023C,CADE,180
B1023C,PIPJ,85
B1023T,PIPJ,61
B1023T,PILA,91.2
B1023T,CADE,77.5
B1024C,CADE,183
B1024C,PIPJ,138
B1024C,PILA,124
A4247T,ABCO,14.7
A4247T,PIPJ,82
A4247T,PILA,114
A4247T,PSME,69.9
A4247T,CADE,146
A4248C,PSME,23.2
A4248C,PIPJ,22.6
A4248C,ABCO,61
A4248C,CADE,98
A4248C,PILA,123
A4248T,PSME,165
A4248T,PIPJ,34.2
A4248T,ABCO,35.1
A4248T,CADE,92
A4248T,PILA,71.8
A4167C,ABMA,48.4
A4167C,PIPJ,56.2
A4167C,ABCO,50.5
A4167C,CADE,48.2
A4167C,PILA,46.4
A4167T,ABMA,246
A4167T,PIPJ,79
A4167T,ABCO,74
A4167T,CADE,85
A4167T,PILA,95.4
A4167T,PSME,109
A4012C,PILA,166
A4012C,PSME,121
A4012C,PIPJ,180
A4012C,CADE,119
A4012T,PSME,186
A4012T,PILA,247
A4012T,PIPJ,266
A4012T,CADE,199
B1002C,CADE,69
B1002C,PIPJ,27
B1002T,PIPJ,9.3
B1002T,CADE,118.3
B1003C,PIPJ,53.3
B1003C,CADE,7
B1017C,PIPJ,37
B1017T,PIPJ,14.4
B1021C,CADE,10.6
B1021C,PIPJ,16.2
B1021T,CADE,59.5
B1021T,PIPJ,63
D1016T,ABCO,66.5
D1016T,PIPJ,81.2
D1016C,ABCO,24
D1016C,PIPJ,16.6
D1000T,PIPJ,92.7
D1092T,PIPJ,101.9
D1092C,PIPJ,6
D1092C,FIR,80
D1099T,PIPJ,28
D1099T,QUKE,68
B1007T,QUCH,28
B1007T,PIPJ,45.8
B1007T,CADE,194
B1007C,PIPJ,30.3
B1007C,CADE,122.6
B1008C,PIPJ,179
B1008T,PIPJ,254
D1011C,ABMA,18.7
D1011C,PIPJ,32.6
D1011C,ABCO,157
E0048I,NONE,NA
C2010C,PSME,52
C2010C,PIPJ,59
C2010C,CADE,109
C2010C,PILA,113
C2010C,ABCO,120
C2013T,PILA,221
C2013T,ABMA,69
C2013T,ABCO,247
C2013T,PIPJ,429
C2012T,PILA,136.8
C2012T,PIPJ,195
C2012T,ABMA,90.7
C2012T,ABCO,111
C2011T,PILA,82
C2011T,CADE,45
C2011T,ABMA,91.4
C2011T,FIR,69
C2011T,PIPJ,232
E0059I,PIPJ,83
E0054I,PIPJ,243
E0054I,ABCO,373
B1016T,PIPJ,39
B1016T,CADE,9
B1020C,NONE,NA
B1020T,PILA,445
B1020T,PIPJ,159
B1020T,CADE,401
D1012T,PIPJ,19.3
D1012T,ABMA,7.1
D1012C,ABMA,78
D1012C,PIPJ,96
D1012C,ABCO,166
D1099C,PIPJ,28.6
D1099C,QUKE,10.16
D1099C,ABCO,123
D1007T,PIPJ,129
D1007T,FIR,220
D1007T,ABMA,208
D1007C,PIPJ,49
D1007C,ABCO,153
D1097T,ABCO,19
D1097T,PIPJ,21
D1097T,QUKE,169
D1009C,PIPJ,51
D1009C,PILA,180
D1009C,ABMA,110
D1008C,PIPJ,42
D1008C,PILA,55
D1008C,FIR,143
D1011T,PIPJ,51.4
D1011T,ABMA,48
D1011T,PILA,261
D1100T,ABMA,30.8
D1100T,ABCO,39.6
D1100T,PIPJ,58.7
D1100T,QUKE,2.5
D1100C,PIPJ,19.7
D1100C,ABCO,23
D1100C,ABMA,21.1
E0047I,PIPJ,228
E0041I,PIPJ,11.7
E0040I,PIPJ,267
C2014T,PILA,280
C2014T,ABMA,98
C2014T,ABCO,90
C2014T,PIPJ,110
C2014C,ABCO,60.9
C2014C,PIPJ,82
C2014C,ABMA,147.7
C2014C,PILA,514
C2015T,PIPJ,80.3
C2015T,PILA,102.2
C2015T,FIR,200
C2015T,PSME,211
C2015C,PIPJ,168
C2015C,PILA,135
C2015C,PSME,96
C2015C,ABMA,177
C2011C,PILA,35.7
C2011C,ABCO,100
C2011C,CADE,101.1
C2012C,PILA,138
C2012C,CADE,146
C2012C,ABCO,151
C2012C,PIPJ,446
C2012C,ABMA,362
C2013C,PILA,149
C2013C,ABCO,204
C2013C,CADE,185
C2013C,PIPJ,518
C2010T,PIPJ,80
C2010T,PSME,53
C2010T,PILA,94
C1040C,PIPJ,82
C1040C,ABCO,123.2
C1040C,ABMA,136
C1040C,PILA,488
E0038I,NONE,NA
E0032I,NONE,NA
E0044I,NONE,NA
